playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8476329,2021,Travis Boyd,ARI,C,other,74,2979.0,63.0,14.84,0.59,0.47,0.57,0.45,0.56,0.44,217.0,4.81,0.87,0.52,0.84,0.17,2.06,1.53,0.69,0.87,0.69,0.0,1.0,4.0,2.0,3.0,9.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,5.0,1.0,2.0,20.0,3.0,0.0,1.0,2.0,2.0,2.0,0.13,0.25,0.5,0.0,1.0,0.0,9.0,6.0,6.0,0.0,0.15,0.22,0.0,1.02,1.02,0.81,63.0,21.0,12.0,5.0,25.0,7.0,12.0,14.0,30.0,20.0,29.0,4690.0,2.0,0.0,0.0,3.0,42.13,10.53,9.81,10.53,9.81,40.0,17.0,17.0,74.0,8.0,4.0,0.0,28.0,12.0,17.0,0.97,1.45,8.12,1.0,1.0,6.0,74.0,57.0,57.0,1.01,1.05,1.05,10.49,10.49,10.0,33.79,7.44,7.16,7.44,7.16,38.0,7.0,10.0,55.0,7.0,4.0,0.0,24.0,11.0,10.0,0.97,1.46,5.01,1.0,1.0,5.0,55.0,45.0,45.0,0.67,1.04,1.04,7.06,7.06,6.86,12.89,14.5,98.0,119.0,0.0,0.09,0.0,1.0,0.0,1.0
8476329,2021,Travis Boyd,ARI,C,all,74,73329.0,1692.0,17.23,0.45,0.4,0.45,0.42,0.45,0.42,360.0,92.97,12.95,8.12,19.72,3.37,51.24,35.59,12.52,12.75,12.32,11.0,7.0,88.0,43.0,24.0,155.0,35.0,17.0,6.0,2.0,19.0,2.0,35.0,52.0,71.0,114.0,17.0,34.0,420.0,71.0,20.0,28.0,66.0,51.0,14.0,2.71,6.42,3.83,3.0,10.0,4.0,150.22,131.0,128.02,10.0,1.8,1.25,2.5,12.26,12.09,11.77,1692.0,236.0,233.0,267.0,956.0,175.0,255.0,246.0,1016.0,420.0,507.0,195737.0,34.0,22.0,11.0,55.0,534.7,51.95,49.83,51.6,49.49,514.0,235.0,229.0,978.0,69.0,42.0,7.0,552.0,146.0,51.0,16.58,18.03,17.34,20.0,31.0,18.0,954.64,749.0,735.93,8.48,7.94,7.94,52.49,52.07,50.81,663.69,63.87,61.41,65.31,62.8,687.0,234.0,296.0,1217.0,79.0,58.0,12.0,687.0,172.0,62.0,20.8,20.79,22.27,28.0,26.0,25.0,1256.12,921.0,944.54,10.03,12.45,12.45,61.44,62.73,61.38,125.68,186.27,2520.0,3424.0,0.0,0.0,0.0,0.0,0.0,0.0
8476329,2021,Travis Boyd,ARI,C,5on5,74,60662.0,1423.0,17.23,0.42,0.42,0.42,0.44,0.43,0.43,377.0,77.42,10.1,6.37,16.86,2.76,42.52,30.39,9.97,9.9,9.78,9.0,6.0,72.0,37.0,19.0,128.0,29.0,14.0,4.0,2.0,16.0,2.0,29.0,44.0,58.0,95.0,11.0,22.0,347.0,65.0,18.0,24.0,57.0,43.0,9.0,2.34,5.35,2.4,3.0,8.0,3.0,123.22,109.0,106.02,9.0,1.34,0.83,1.91,9.54,9.37,9.31,1423.0,165.0,177.0,245.0,836.0,149.0,213.0,199.0,862.0,347.0,410.0,160393.0,22.0,22.0,11.0,48.0,417.34,33.87,32.94,33.52,32.59,393.0,193.0,179.0,765.0,53.0,29.0,7.0,449.0,112.0,25.0,13.23,13.86,6.78,15.0,28.0,10.0,741.64,586.0,572.93,5.79,5.45,5.45,34.22,33.8,33.4,550.94,46.14,44.38,47.59,45.78,565.0,202.0,270.0,1037.0,60.0,48.0,12.0,586.0,141.0,40.0,17.93,16.71,11.49,24.0,22.0,14.0,1076.12,767.0,790.54,7.69,10.51,10.51,43.32,44.6,43.81,89.35,125.93,2080.0,2640.0,2.55,1.91,42.0,40.0,36.0,34.0
8476329,2021,Travis Boyd,ARI,C,4on5,74,2709.0,96.0,14.98,0.09,0.08,0.08,0.11,0.09,0.12,285.0,0.82,0.2,0.07,0.08,0.02,0.23,0.4,0.2,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,25.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.02,0.0,0.0,0.21,0.21,0.21,96.0,0.0,41.0,4.0,51.0,3.0,20.0,13.0,60.0,25.0,30.0,13557.0,2.0,0.0,0.0,0.0,5.58,0.71,0.71,0.71,0.71,6.0,1.0,0.0,7.0,0.0,0.0,0.0,3.0,3.0,1.0,0.06,0.39,0.27,0.0,0.0,0.0,7.0,7.0,7.0,0.07,0.0,0.0,0.77,0.77,0.77,52.69,7.6,7.3,7.6,7.3,53.0,20.0,12.0,85.0,9.0,5.0,0.0,52.0,12.0,9.0,1.33,1.45,4.81,2.0,1.0,6.0,85.0,73.0,73.0,1.33,0.58,0.58,8.34,8.34,8.02,2.28,25.45,51.0,413.0,0.01,0.0,1.0,0.0,1.0,0.0
8476329,2021,Travis Boyd,ARI,C,5on4,74,6979.0,110.0,17.82,0.73,0.84,0.78,0.83,0.75,0.81,289.0,9.91,1.78,1.16,1.93,0.43,6.43,3.27,1.66,1.78,1.66,2.0,0.0,11.0,4.0,2.0,17.0,4.0,2.0,1.0,0.0,1.0,0.0,5.0,6.0,9.0,13.0,4.0,8.0,27.0,2.0,0.0,2.0,7.0,5.0,3.0,0.24,0.62,0.93,0.0,1.0,1.0,17.0,15.0,15.0,0.0,0.3,0.2,0.59,1.48,1.48,1.43,110.0,50.0,3.0,13.0,44.0,16.0,10.0,20.0,64.0,27.0,31.0,8892.0,8.0,0.0,0.0,4.0,68.23,6.71,6.25,6.71,6.25,73.0,24.0,33.0,130.0,7.0,9.0,0.0,71.0,18.0,8.0,2.31,2.22,2.18,4.0,1.0,2.0,130.0,97.0,97.0,1.59,1.44,1.44,6.86,6.86,6.49,23.88,2.43,2.33,2.43,2.33,29.0,4.0,4.0,37.0,2.0,1.0,0.0,23.0,7.0,3.0,0.49,0.99,0.95,1.0,1.0,0.0,37.0,33.0,33.0,0.29,0.32,0.32,2.41,2.41,2.4,13.77,2.65,195.0,39.0,0.0,0.17,0.0,3.0,0.0,3.0
8482655,2021,J.J. Moser,ARI,D,other,43,1591.0,24.0,4.53,0.51,0.59,0.49,0.5,0.51,0.5,104.0,4.93,0.6,0.49,1.16,0.18,2.88,1.69,0.37,0.6,0.37,1.0,1.0,5.0,2.0,5.0,12.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,5.0,7.0,1.0,2.0,0.0,2.0,1.0,0.0,4.0,2.0,1.0,0.19,0.19,0.22,0.0,0.0,0.0,12.0,7.0,7.0,0.0,0.12,0.34,0.22,0.5,0.5,0.38,24.0,4.0,10.0,3.0,7.0,2.0,2.0,4.0,16.0,0.0,0.0,3034.0,2.0,0.0,0.0,2.0,26.57,5.36,4.47,5.36,4.47,26.0,10.0,9.0,45.0,3.0,5.0,1.0,23.0,5.0,8.0,1.04,0.56,3.76,0.0,0.0,3.0,45.0,36.0,36.0,0.54,1.55,1.55,4.35,4.35,3.65,26.51,5.24,4.44,5.24,4.44,26.0,9.0,11.0,46.0,3.0,4.0,0.0,13.0,11.0,11.0,0.62,1.35,3.27,0.0,2.0,1.0,46.0,35.0,35.0,0.63,1.01,1.01,4.86,4.86,4.23,12.61,8.74,78.0,79.0,0.09,0.0,2.0,0.0,2.0,0.0
8482655,2021,J.J. Moser,ARI,D,all,43,48228.0,1048.0,3.95,0.42,0.46,0.41,0.43,0.4,0.43,178.0,43.58,2.89,3.06,11.52,1.51,27.34,18.67,2.63,2.85,2.58,6.0,5.0,40.0,25.0,34.0,99.0,15.0,4.0,4.0,0.0,16.0,1.0,17.0,23.0,36.0,61.0,8.0,16.0,0.0,32.0,10.0,24.0,59.0,3.0,3.0,1.69,0.36,0.83,2.0,0.0,2.0,96.77,65.0,63.08,18.0,0.66,0.95,0.29,3.26,3.2,3.05,1048.0,78.0,164.0,168.0,638.0,95.0,143.0,143.0,667.0,0.0,0.0,108134.0,16.0,16.0,8.0,55.0,323.91,33.55,31.72,33.26,31.46,327.0,131.0,145.0,603.0,41.0,35.0,6.0,326.0,101.0,31.0,10.25,12.45,10.84,12.0,20.0,9.0,593.37,458.0,452.77,5.2,7.82,7.82,30.93,30.79,29.69,495.54,47.27,44.31,48.28,45.23,498.0,189.0,180.0,867.0,54.0,57.0,10.0,497.0,134.0,56.0,14.61,16.25,16.41,22.0,19.0,13.0,882.53,687.0,698.58,8.21,10.94,10.94,44.53,45.29,43.56,83.91,100.31,1466.0,1911.0,0.0,0.0,0.0,0.0,0.0,0.0
8482655,2021,J.J. Moser,ARI,D,5on5,43,39609.0,868.0,3.95,0.39,0.44,0.42,0.44,0.4,0.43,195.0,35.94,1.82,2.37,9.82,1.25,22.99,15.75,1.79,1.78,1.75,5.0,3.0,31.0,23.0,27.0,81.0,11.0,3.0,3.0,0.0,11.0,1.0,15.0,21.0,28.0,51.0,6.0,12.0,0.0,27.0,7.0,21.0,52.0,1.0,1.0,1.42,0.17,0.23,2.0,0.0,1.0,78.77,54.0,52.08,17.0,0.47,0.61,0.06,2.23,2.17,2.14,868.0,46.0,118.0,155.0,549.0,79.0,121.0,121.0,547.0,0.0,0.0,88219.0,12.0,12.0,6.0,47.0,257.67,22.93,22.32,22.64,22.06,256.0,109.0,124.0,489.0,33.0,24.0,4.0,267.0,82.0,16.0,8.35,10.15,4.43,11.0,18.0,4.0,479.37,365.0,359.77,3.7,4.46,4.65,21.98,21.84,21.62,386.96,35.32,33.7,36.33,34.62,390.0,148.0,150.0,688.0,45.0,42.0,9.0,397.0,104.0,37.0,12.15,12.71,10.46,21.0,14.0,10.0,703.53,538.0,549.58,5.58,9.19,9.19,31.71,32.46,31.89,53.88,69.49,1171.0,1517.0,2.48,0.3,49.0,9.0,38.0,6.0
8482655,2021,J.J. Moser,ARI,D,4on5,43,3929.0,90.0,4.52,0.09,0.08,0.11,0.09,0.11,0.1,113.0,0.69,0.03,0.03,0.15,0.02,0.27,0.5,0.03,0.03,0.03,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.01,0.0,0.0,0.04,0.04,0.04,90.0,2.0,32.0,4.0,52.0,6.0,16.0,8.0,60.0,0.0,0.0,6742.0,2.0,0.0,0.0,1.0,8.23,0.59,0.58,0.59,0.58,12.0,1.0,2.0,15.0,1.0,0.0,0.0,11.0,2.0,0.0,0.29,0.3,0.0,0.0,1.0,0.0,15.0,13.0,13.0,0.14,0.0,0.0,0.73,0.73,0.72,76.49,6.05,5.52,6.05,5.52,76.0,30.0,17.0,123.0,6.0,11.0,1.0,82.0,17.0,7.0,1.78,1.84,2.43,1.0,3.0,2.0,123.0,106.0,106.0,1.91,0.74,0.74,7.22,7.22,6.7,1.13,12.98,21.0,213.0,0.01,0.0,2.0,0.0,1.0,0.0
8482655,2021,J.J. Moser,ARI,D,5on4,43,3099.0,66.0,5.6,0.88,0.86,0.84,0.84,0.85,0.82,69.0,2.02,0.44,0.18,0.39,0.05,1.2,0.74,0.44,0.44,0.44,0.0,1.0,3.0,0.0,2.0,5.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.05,0.0,0.39,0.0,0.0,1.0,5.0,3.0,3.0,1.0,0.06,0.0,0.0,0.49,0.49,0.49,66.0,26.0,4.0,6.0,30.0,8.0,4.0,10.0,44.0,0.0,0.0,6057.0,0.0,4.0,2.0,4.0,31.45,4.67,4.34,4.67,4.34,33.0,11.0,10.0,54.0,4.0,6.0,1.0,25.0,12.0,7.0,0.58,1.44,2.65,1.0,1.0,2.0,54.0,44.0,44.0,0.82,1.81,1.63,3.86,3.86,3.7,5.59,0.66,0.66,0.66,0.66,6.0,2.0,2.0,10.0,0.0,0.0,0.0,5.0,2.0,1.0,0.06,0.34,0.26,0.0,0.0,0.0,10.0,8.0,8.0,0.09,0.0,0.0,0.75,0.75,0.75,8.26,1.39,139.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
