lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
847793384801858482113,2023,Luostarinen-Lundell-Reinhart,FLA,line,5on5,24,7819.0,172.0,0.6,0.58,0.58,72.48,5.84,4.77,19.32,2.8,39.84,28.43,5.61,5.76,5.55,60.0,41.0,48.0,149.0,4.0,9.0,1.0,16.0,0.0,39.0,33.0,56.0,97.0,11.0,22.0,80.0,48.0,18.0,24.0,79.0,17.0,5.0,2.34,2.24,1.25,0.0,4.0,0.0,146.89,101.0,100.28,14.0,1.0,1.6,1.6,5.24,5.21,5.07,53.41,3.93,3.35,13.63,1.81,29.21,22.08,3.83,4.0,3.9,49.0,25.0,33.0,107.0,4.0,2.0,1.0,14.0,0.0,22.0,32.0,45.0,70.0,10.0,20.0,67.0,81.0,10.0,21.0,60.0,12.0,2.0,1.65,1.54,0.73,2.0,1.0,1.0,107.37,74.0,74.65,13.0,0.7,0.63,0.63,3.99,4.05,4.01
84758258476902,2023,Lindell-Hakanp,DAL,pairing,5on5,61,36226.0,179.0,0.53,0.47,0.49,296.53,25.35,19.18,71.98,9.96,161.85,120.66,24.46,25.45,24.57,285.0,124.0,164.0,573.0,31.0,28.0,5.0,55.0,3.0,141.0,151.0,254.0,378.0,32.0,66.0,314.0,255.0,58.0,90.0,305.0,77.0,27.0,8.7,9.16,7.5,13.0,10.0,8.0,582.92,409.0,413.71,43.0,3.98,5.89,5.73,23.59,23.83,23.48,309.71,22.63,18.71,82.17,10.34,168.31,126.86,21.88,22.7,21.93,297.0,132.0,207.0,636.0,32.0,23.0,4.0,89.0,2.0,149.0,134.0,265.0,397.0,33.0,64.0,248.0,312.0,47.0,70.0,343.0,67.0,19.0,9.42,8.1,5.12,15.0,12.0,5.0,629.97,429.0,426.7,32.0,3.88,3.94,3.94,22.58,22.65,22.22
847579884793168480821,2023,Kunin-Granlund-Zadina,SJS,line,5on5,7,1073.0,65.0,0.25,0.32,0.31,7.08,0.4,0.48,1.61,0.26,3.91,3.35,0.39,0.4,0.39,6.0,4.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,6.0,10.0,2.0,7.0,5.0,8.0,0.0,1.0,9.0,1.0,0.0,0.32,0.08,0.0,0.0,0.0,0.0,13.24,10.0,9.63,0.0,0.1,0.0,0.0,0.5,0.5,0.49,16.51,1.18,1.03,3.72,0.49,8.76,6.83,1.15,1.2,1.18,18.0,4.0,8.0,30.0,2.0,1.0,1.0,2.0,0.0,10.0,7.0,16.0,20.0,4.0,11.0,7.0,7.0,4.0,3.0,17.0,5.0,0.0,0.47,0.71,0.0,1.0,1.0,0.0,31.61,22.0,22.77,3.0,0.21,0.14,0.14,1.25,1.27,1.26
84751818476792,2023,Krug-Leddy,STL,pairing,5on5,42,2424.0,307.0,0.36,0.4,0.46,20.66,1.36,1.19,4.55,0.62,11.15,9.14,1.31,1.33,1.29,13.0,15.0,7.0,35.0,1.0,1.0,0.0,3.0,0.0,11.0,12.0,12.0,27.0,3.0,6.0,4.0,16.0,3.0,1.0,23.0,5.0,0.0,0.75,0.61,0.0,1.0,0.0,0.0,33.73,28.0,27.08,1.0,0.24,0.01,0.0,1.6,1.57,1.52,24.63,2.46,1.88,5.82,0.8,12.83,9.2,2.33,2.42,2.31,27.0,6.0,19.0,52.0,2.0,3.0,0.0,6.0,0.0,9.0,13.0,25.0,31.0,2.0,4.0,3.0,11.0,5.0,5.0,21.0,9.0,3.0,0.52,1.27,0.68,1.0,1.0,0.0,52.89,33.0,33.12,3.0,0.4,0.68,0.68,2.18,2.16,2.13
847793984784838479318,2023,Marner-Matthews-Nylander,TOR,line,5on5,31,2425.0,346.0,0.34,0.55,0.51,25.56,1.99,1.7,6.21,0.8,14.19,10.11,1.9,1.99,1.9,26.0,9.0,19.0,54.0,4.0,2.0,0.0,4.0,0.0,15.0,10.0,22.0,31.0,0.0,0.0,24.0,10.0,8.0,5.0,28.0,6.0,1.0,0.88,0.74,0.37,3.0,1.0,0.0,51.88,35.0,34.04,1.0,0.35,0.4,0.4,1.93,1.91,1.89,26.58,3.88,2.02,6.16,0.94,11.17,8.84,3.68,4.13,3.93,25.0,8.0,11.0,44.0,6.0,7.0,2.0,3.0,0.0,6.0,11.0,19.0,27.0,1.0,2.0,19.0,15.0,7.0,8.0,18.0,6.0,9.0,0.52,0.81,2.54,0.0,3.0,3.0,47.63,33.0,35.42,5.0,0.43,1.69,1.69,2.62,2.81,2.78
847595884816568482148,2023,Protas-Lapierre-Sgarbossa,WSH,line,5on5,4,821.0,30.0,0.47,0.45,0.52,7.95,0.73,0.48,1.95,0.23,4.44,3.16,0.68,0.77,0.72,7.0,4.0,2.0,13.0,1.0,1.0,0.0,0.0,0.0,4.0,5.0,6.0,10.0,0.0,0.0,5.0,4.0,1.0,3.0,8.0,2.0,1.0,0.12,0.3,0.31,1.0,0.0,0.0,13.34,11.0,11.39,2.0,0.1,0.31,0.31,0.52,0.53,0.53,7.51,0.84,0.45,2.01,0.26,3.56,2.89,0.8,0.84,0.81,8.0,2.0,6.0,16.0,0.0,1.0,0.0,4.0,0.0,3.0,2.0,8.0,10.0,1.0,2.0,8.0,5.0,0.0,0.0,8.0,0.0,2.0,0.27,0.0,0.56,0.0,0.0,0.0,16.48,10.0,10.22,0.0,0.1,0.31,0.31,0.62,0.62,0.61
84817088482073,2023,Jones-Schneider,NYR,pairing,5on5,26,12344.0,129.0,0.46,0.48,0.49,107.83,9.11,7.39,26.75,3.65,58.98,43.11,8.86,9.11,8.87,103.0,46.0,52.0,201.0,9.0,15.0,1.0,18.0,1.0,53.0,53.0,94.0,140.0,12.0,27.0,93.0,97.0,24.0,32.0,113.0,28.0,8.0,3.46,3.63,2.02,4.0,4.0,1.0,203.37,149.0,150.18,19.0,1.52,2.18,2.02,8.61,8.67,8.48,114.25,10.58,7.76,29.04,3.95,60.77,45.91,10.13,10.56,10.1,117.0,41.0,63.0,221.0,15.0,14.0,4.0,14.0,0.0,46.0,69.0,102.0,143.0,14.0,31.0,73.0,94.0,16.0,22.0,118.0,30.0,10.0,3.5,3.93,3.15,2.0,7.0,6.0,219.75,158.0,157.42,12.0,1.61,2.74,2.74,9.44,9.41,9.16
84815468482142,2023,York-Drysdale,PHI,pairing,5on5,22,5410.0,126.0,0.36,0.49,0.51,50.19,2.72,2.82,13.72,1.68,27.26,20.8,2.66,2.62,2.57,45.0,24.0,23.0,92.0,2.0,1.0,0.0,14.0,0.0,18.0,34.0,43.0,67.0,7.0,17.0,40.0,35.0,5.0,7.0,61.0,7.0,1.0,1.49,0.97,0.25,1.0,1.0,0.0,88.84,69.0,67.04,6.0,0.59,0.25,0.25,3.05,2.95,2.92,47.6,4.77,3.19,11.67,1.64,26.06,19.67,4.67,4.75,4.65,40.0,27.0,30.0,97.0,4.0,5.0,1.0,6.0,0.0,25.0,27.0,36.0,63.0,9.0,21.0,40.0,45.0,6.0,11.0,48.0,13.0,6.0,1.19,1.55,2.03,1.0,2.0,1.0,97.24,67.0,66.76,4.0,0.66,1.28,1.28,4.15,4.11,4.07
847821184784218479291,2023,Greer-Rooney-Hunt,CGY,line,5on5,5,1808.0,23.0,0.61,0.6,0.6,14.57,0.96,0.98,3.95,0.54,8.34,6.24,0.89,0.94,0.88,14.0,7.0,10.0,31.0,2.0,1.0,0.0,1.0,0.0,8.0,9.0,12.0,19.0,0.0,0.0,11.0,21.0,2.0,4.0,19.0,0.0,2.0,0.45,0.0,0.5,2.0,0.0,0.0,30.01,21.0,20.22,3.0,0.2,0.25,0.25,0.9,0.89,0.88,9.83,0.61,0.57,3.34,0.37,4.98,4.12,0.58,0.64,0.6,8.0,6.0,7.0,21.0,0.0,1.0,0.0,2.0,1.0,3.0,7.0,8.0,14.0,2.0,4.0,11.0,15.0,2.0,5.0,13.0,0.0,1.0,0.35,0.0,0.27,0.0,0.0,0.0,22.24,14.0,14.72,3.0,0.12,0.27,0.27,0.46,0.48,0.44
84745638479998,2023,Anderson-Doughty,LAK,pairing,5on5,74,69375.0,95.0,0.55,0.55,0.55,606.59,49.12,38.33,152.52,20.14,322.26,245.64,47.31,49.57,47.75,563.0,265.0,342.0,1170.0,44.0,61.0,9.0,104.0,2.0,314.0,303.0,519.0,784.0,73.0,151.0,553.0,421.0,109.0,118.0,638.0,140.0,50.0,17.06,17.68,14.38,17.0,18.0,9.0,1189.6,828.0,840.53,85.0,7.92,12.18,12.85,44.19,44.63,43.85,485.87,40.83,32.42,120.4,16.19,260.43,195.73,39.38,40.45,39.01,446.0,220.0,304.0,970.0,33.0,49.0,6.0,89.0,0.0,243.0,252.0,413.0,633.0,82.0,169.0,576.0,566.0,122.0,128.0,502.0,122.0,42.0,13.71,15.28,11.84,13.0,12.0,8.0,951.68,666.0,655.62,79.0,6.75,10.37,10.74,36.84,36.54,35.96
